package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
2.0,3,448.0,,,,01-01-2013 16:00,0,0,01-01-2013 09:44,12.92732,77.63575,,,0
2.0,3,471.0,,,,01-01-2013 14:30,0,0,01-01-2013 12:52,13.01854,77.63524,,,0
1.0,3,1286.0,,,,01-01-2013 16:30,0,0,01-01-2013 14:39,12.973448,77.62032,,,0
1.0,3,1323.0,,,,01-01-2013 20:00,1,0,01-01-2013 17:25,12.869805,77.653211,,,0
2.0,3,142.0,,,,01-02-2013 03:00,0,0,01-01-2013 19:37,12.91281,77.60923,,,0
2.0,3,87.0,,,,01-02-2013 12:00,0,0,01-02-2013 08:35,12.97003,77.60658,,,0
2.0,3,217.0,,,,01-02-2013 14:30,0,0,01-02-2013 09:04,13.0011,77.6235,,,0
1.0,3,142.0,,,,01-02-2013 10:30,0,0,01-02-2013 09:18,12.91281,77.60923,,,0
2.0,3,590.0,,,,01-02-2013 11:00,0,0,01-02-2013 10:08,13.00826,77.56433,,,0
1.0,3,1086.0,,,,01-02-2013 12:15,1,0,01-02-2013 10:14,12.907487,77.64729,,,0
2.0,3,1053.0,,,,01-02-2013 11:30,0,0,01-02-2013 10:29,12.912799,77.589784,,,0
2.0,3,393.0,,,,01-02-2013 16:00,1,0,01-02-2013 11:59,13.19956,77.70688,,,0
1.0,3,293.0,,,,01-02-2013 17:00,1,0,01-02-2013 12:15,12.849482,77.663187,,,0
2.0,3,6.0,,,,01-02-2013 16:00,1,0,01-02-2013 14:34,12.97739,77.61762,,,0
1.0,3,1084.0,,,,01-02-2013 16:45,0,0,01-02-2013 16:12,12.892657,77.581866,,,0
1.0,3,601.0,,,,01-03-2013 09:15,0,0,01-03-2013 08:24,13.02434,77.56593,,,0
1.0,3,58.0,,,,01-03-2013 12:00,0,0,01-03-2013 10:11,12.88963,77.60119,,,0
1.0,3,149.0,,,,01-03-2013 11:00,0,0,01-03-2013 10:25,12.93022,77.56039,,,0
1.0,3,767.0,,,,01-05-2013 14:30,1,0,01-03-2013 10:32,12.9122,77.51043,,,0
1.0,3,824.0,,,,01-03-2013 15:00,0,0,01-03-2013 14:13,13.06557,77.58646,,,0
2.0,3,541.0,,,,01-04-2013 19:30,0,0,01-03-2013 17:44,12.93524,77.61997,,,0
2.0,3,1378.0,,,,01-05-2013 10:00,1,0,01-03-2013 21:15,12.827912,77.679642,,,0
2.0,3,1015.0,,,,01-04-2013 05:15,0,0,01-03-2013 21:34,12.93086,77.57769,,,0
1.0,3,571.0,,,,01-04-2013 13:15,0,0,01-04-2013 08:36,12.95185,77.69642,,,0
1.0,3,1058.0,,,,01-04-2013 10:15,0,0,01-04-2013 09:15,12.914535,77.631658,,,0
1.0,3,767.0,,,,01-04-2013 12:15,0,0,01-04-2013 11:16,12.9122,77.51043,,,0
2.0,3,1191.0,,,,01-04-2013 12:30,0,0,01-04-2013 11:24,13.03017,77.56684,,,0
1.0,3,1230.0,,,,01-05-2013 11:30,0,0,01-04-2013 11:27,13.02239,77.59492,,,0
2.0,3,1214.0,,,,01-04-2013 14:30,0,0,01-04-2013 13:22,12.97672,77.64927,,,0
2.0,3,145.0,,,,01-04-2013 15:45,0,0,01-04-2013 14:23,12.99067,77.65587,,,0
2.0,3,293.0,,,,01-05-2013 12:00,0,0,01-04-2013 16:24,12.849482,77.663187,,,0
1.0,3,115.0,,,,01-04-2013 18:00,0,0,01-04-2013 16:26,12.99319,77.54472,,,0
2.0,3,1096.0,,,,01-05-2013 04:00,1,0,01-04-2013 19:34,12.96519,77.71932,,,0
2.0,3,784.0,,,,01-05-2013 08:45,0,0,01-04-2013 19:50,12.96634,77.60709,,,0
1.0,3,571.0,,,,01-05-2013 10:00,0,0,01-04-2013 20:19,12.95185,77.69642,,,0
2.0,3,115.0,,,,01-06-2013 01:30,1,0,01-04-2013 21:02,12.99319,77.54472,,,0
1.0,3,1010.0,,,,01-05-2013 09:00,0,0,01-04-2013 22:25,12.96691,77.74935,,,0
1.0,3,89.0,,,,01-05-2013 10:45,0,0,01-05-2013 09:28,12.96519,77.71932,,,0
1.0,3,1170.0,,,,01-05-2013 12:00,1,0,01-05-2013 10:28,12.98793,77.52612,,,0
