package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
,2,83.0,448.0,,,01-01-2013 02:00,0,0,01-01-2013 01:39,12.92415,77.67229,12.92732,77.63575,0
,2,1010.0,540.0,,,01-01-2013 09:00,0,0,01-01-2013 02:25,12.96691,77.74935,12.92768,77.62664,0
,2,1301.0,1034.0,,,01-01-2013 03:30,0,0,01-01-2013 03:08,12.937222,77.626915,13.047926,77.597766,0
,2,768.0,398.0,,,01-01-2013 05:45,0,0,01-01-2013 04:39,12.98999,77.55332,12.97143,77.63914,0
,2,1365.0,849.0,,,01-01-2013 09:00,0,0,01-01-2013 07:53,12.845653,77.677925,12.95434,77.60072,0
,2,1021.0,1323.0,,,01-01-2013 22:30,0,0,01-01-2013 08:01,13.02853,77.54625,12.869805,77.653211,0
,2,1192.0,832.0,,,01-01-2013 11:00,0,0,01-01-2013 09:39,12.97677,77.5727,12.88019,77.64558,0
,2,516.0,376.0,,,01-01-2013 11:00,0,0,01-01-2013 09:49,13.0056,77.65799,12.90245,77.66081,0
,2,150.0,776.0,,,01-01-2013 11:00,0,0,01-01-2013 09:55,12.89724,77.61065,13.01508,77.67796,0
,2,455.0,1330.0,,,01-01-2013 12:45,0,0,01-01-2013 09:59,12.999874,77.67812,12.953434,77.70651,0
,2,1166.0,1328.0,,,01-01-2013 12:30,0,0,01-01-2013 10:18,12.997198,77.669514,12.958808,77.649047,0
,2,793.0,590.0,,,01-01-2013 12:45,0,0,01-01-2013 11:17,13.02239,77.59492,13.00826,77.56433,0
,2,1063.0,58.0,,,01-01-2013 15:00,1,0,01-01-2013 11:48,12.934477,77.611284,12.88963,77.60119,0
,2,1102.0,292.0,,,01-02-2013 02:00,0,0,01-01-2013 11:52,12.93652,77.54481,12.93944,77.62923,0
,2,814.0,393.0,,,01-02-2013 00:30,1,0,01-01-2013 12:14,12.908993,77.6889,13.19956,77.70688,0
,2,1353.0,585.0,,,01-01-2013 16:00,0,0,01-01-2013 12:28,12.966545,77.711639,12.97677,77.5727,0
,2,297.0,212.0,,,01-01-2013 13:15,0,0,01-01-2013 12:42,12.99789,77.61488,12.99474,77.60797,0
,2,58.0,1063.0,,,01-01-2013 18:30,1,0,01-01-2013 13:40,12.88963,77.60119,12.934477,77.611284,1
,2,540.0,409.0,,,01-01-2013 16:00,1,0,01-01-2013 13:50,12.92768,77.62664,13.07746,77.60668,0
,2,142.0,393.0,,,01-01-2013 17:00,1,0,01-01-2013 14:56,12.91281,77.60923,13.19956,77.70688,0
,2,393.0,61.0,,,01-02-2013 20:00,0,0,01-01-2013 15:02,13.19956,77.70688,12.96298,77.71229,0
,2,89.0,585.0,,,01-01-2013 20:30,0,0,01-01-2013 15:07,12.96519,77.71932,12.97677,77.5727,0
,2,1237.0,330.0,,,01-01-2013 16:30,0,0,01-01-2013 15:07,12.92645,77.61206,12.858833,77.589127,0
,2,61.0,393.0,,,01-01-2013 18:00,0,0,01-01-2013 15:11,12.96298,77.71229,13.19956,77.70688,0
,2,137.0,1068.0,,,01-02-2013 07:00,0,0,01-01-2013 15:39,12.81575,77.68465,13.044009,77.606805,0
,2,409.0,1194.0,,,01-01-2013 16:15,0,0,01-01-2013 15:40,13.07746,77.60668,13.00446,77.56923,0
,2,1062.0,1010.0,,,01-02-2013 08:00,0,0,01-01-2013 17:16,13.059784,77.609219,12.96691,77.74935,0
,2,1371.0,839.0,,,01-02-2013 10:30,1,0,01-01-2013 17:21,13.000418,77.674835,12.85773,77.78642,0
,2,1017.0,496.0,,,01-02-2013 05:00,0,0,01-01-2013 17:30,13.11084,77.60074,13.05845,77.64075,0
